+----------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                   (m.text)                                                                   |
+----------------------------------------------------------------------------------------------------------------------------------------------+
| RT @Mariog64: @Aguada_oficial @URUGUAYLATECAP @Hebraicaymacabi Salud Macabi y un 👏👏 grande para Aguada , de un goense de ley !! Muy buena s… |
|                 @cherrera88 @Aguada_oficial Eeeeeeeeee paaaara un poco guachinnnn #juntosporlanovena 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂                  |
|                                       Es hoy #Juntosporlanovena 🙌🏼🙌🏼🙌🏼 @Aguada_oficial 💚❤️💚❤️💚❤️🏀🏀🏀🏀🏀                                        |
|     Y acá estamos! Vamos nosotros carajooo!!! #juntosporlanovena @Aguada_oficial @PasionAguatera @Somos_Aguada… https://t.co/CnPxbup7cF      |
|                             RT @Castro_AnaLaura: Es hoy #Juntosporlanovena 🙌🏼🙌🏼🙌🏼 @Aguada_oficial 💚❤️💚❤️💚❤️🏀🏀🏀🏀🏀                             |
|                 40' para el salto inicial @Aguada_oficial vs @Hebraicaymacabi #LUB 7a FINAL #VAMOSAGUADA #juntosporlanovena                  |
|                                                Es hoy @Aguada_oficial !!! Vamo arriba !! 💪🏽                                                  |
|                                                              #Juntosporlanovena                                                              |
|                    Es hoy @Aguada_oficial ! #JuntosPorLaNovena #aguada @RinconAguatero @HAguatera https://t.co/ecGCOMtyE5                    |
|   Es hoy!!! Trato de concentrarme en el trabajo y la cabeza se me dispara a cada segundo!! 😱 #juntosporlanovena @Aguada_oficial @HAguatera   |
|       Ya no puedo mas... Tiene que ser hoy!!! #JuntosPorLaNovena @Aguada_oficial @Somos_Aguada @PasionAguatera https://t.co/JL5iWLH0d9       |
| RT @Colet12: Cuando tu amiga hace la fila xa el partido 10hs antes! ❤️💚#JuntosPorLaNovena @RinconAguatero @HAguatera @Aguada_oficial @Somos… |
| RT @Titotimothytim: Ya no puedo mas... Tiene que ser hoy!!! #JuntosPorLaNovena @Aguada_oficial @Somos_Aguada @PasionAguatera https://t.co/J… |
| RT @daianab81: A Palacio y Estadio Propio lleno!!! Así se vive la final en @Aguada_oficial #juntosporlanovena ❤️💚@RinconAguatero @Somos_Agu… |
|                                                          ES HOY @Aguada_oficial 💚❤️                                                          |
|                                                              #juntosporlanovena                                                              |
|          Que mejor que empezar esta mañana de esta forma. #juntosporlanovena Es hoy querido @Aguada_oficial https://t.co/ofspHfZILj          |
|  A Palacio y Estadio Propio lleno!!! Así se vive la final en @Aguada_oficial #juntosporlanovena ❤️💚@RinconAguatero… https://t.co/MpGas5hZU7  |
+----------------------------------------------------------------------------------------------------------------------------------------------+/n+----------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                   (m.text)                                                                   |
+----------------------------------------------------------------------------------------------------------------------------------------------+
| RT @Mariog64: @Aguada_oficial @URUGUAYLATECAP @Hebraicaymacabi Salud Macabi y un 👏👏 grande para Aguada , de un goense de ley !! Muy buena s… |
|                 @cherrera88 @Aguada_oficial Eeeeeeeeee paaaara un poco guachinnnn #juntosporlanovena 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂                  |
|                                       Es hoy #Juntosporlanovena 🙌🏼🙌🏼🙌🏼 @Aguada_oficial 💚❤️💚❤️💚❤️🏀🏀🏀🏀🏀                                        |
|     Y acá estamos! Vamos nosotros carajooo!!! #juntosporlanovena @Aguada_oficial @PasionAguatera @Somos_Aguada… https://t.co/CnPxbup7cF      |
|                             RT @Castro_AnaLaura: Es hoy #Juntosporlanovena 🙌🏼🙌🏼🙌🏼 @Aguada_oficial 💚❤️💚❤️💚❤️🏀🏀🏀🏀🏀                             |
|                 40' para el salto inicial @Aguada_oficial vs @Hebraicaymacabi #LUB 7a FINAL #VAMOSAGUADA #juntosporlanovena                  |
|                                                Es hoy @Aguada_oficial !!! Vamo arriba !! 💪🏽                                                  |
|                                                              #Juntosporlanovena                                                              |
|                    Es hoy @Aguada_oficial ! #JuntosPorLaNovena #aguada @RinconAguatero @HAguatera https://t.co/ecGCOMtyE5                    |
|   Es hoy!!! Trato de concentrarme en el trabajo y la cabeza se me dispara a cada segundo!! 😱 #juntosporlanovena @Aguada_oficial @HAguatera   |
|       Ya no puedo mas... Tiene que ser hoy!!! #JuntosPorLaNovena @Aguada_oficial @Somos_Aguada @PasionAguatera https://t.co/JL5iWLH0d9       |
| RT @Colet12: Cuando tu amiga hace la fila xa el partido 10hs antes! ❤️💚#JuntosPorLaNovena @RinconAguatero @HAguatera @Aguada_oficial @Somos… |
| RT @Titotimothytim: Ya no puedo mas... Tiene que ser hoy!!! #JuntosPorLaNovena @Aguada_oficial @Somos_Aguada @PasionAguatera https://t.co/J… |
| RT @daianab81: A Palacio y Estadio Propio lleno!!! Así se vive la final en @Aguada_oficial #juntosporlanovena ❤️💚@RinconAguatero @Somos_Agu… |
|                                                          ES HOY @Aguada_oficial 💚❤️                                                          |
|                                                              #juntosporlanovena                                                              |
|          Que mejor que empezar esta mañana de esta forma. #juntosporlanovena Es hoy querido @Aguada_oficial https://t.co/ofspHfZILj          |
|  A Palacio y Estadio Propio lleno!!! Así se vive la final en @Aguada_oficial #juntosporlanovena ❤️💚@RinconAguatero… https://t.co/MpGas5hZU7  |
+----------------------------------------------------------------------------------------------------------------------------------------------+/n+----------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                   (m.text)                                                                   |
+----------------------------------------------------------------------------------------------------------------------------------------------+
| RT @Mariog64: @Aguada_oficial @URUGUAYLATECAP @Hebraicaymacabi Salud Macabi y un 👏👏 grande para Aguada , de un goense de ley !! Muy buena s… |
|                 @cherrera88 @Aguada_oficial Eeeeeeeeee paaaara un poco guachinnnn #juntosporlanovena 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂                  |
|                                       Es hoy #Juntosporlanovena 🙌🏼🙌🏼🙌🏼 @Aguada_oficial 💚❤️💚❤️💚❤️🏀🏀🏀🏀🏀                                        |
|     Y acá estamos! Vamos nosotros carajooo!!! #juntosporlanovena @Aguada_oficial @PasionAguatera @Somos_Aguada… https://t.co/CnPxbup7cF      |
|                             RT @Castro_AnaLaura: Es hoy #Juntosporlanovena 🙌🏼🙌🏼🙌🏼 @Aguada_oficial 💚❤️💚❤️💚❤️🏀🏀🏀🏀🏀                             |
|                 40' para el salto inicial @Aguada_oficial vs @Hebraicaymacabi #LUB 7a FINAL #VAMOSAGUADA #juntosporlanovena                  |
|                                                Es hoy @Aguada_oficial !!! Vamo arriba !! 💪🏽                                                  |
|                                                              #Juntosporlanovena                                                              |
|                    Es hoy @Aguada_oficial ! #JuntosPorLaNovena #aguada @RinconAguatero @HAguatera https://t.co/ecGCOMtyE5                    |
|   Es hoy!!! Trato de concentrarme en el trabajo y la cabeza se me dispara a cada segundo!! 😱 #juntosporlanovena @Aguada_oficial @HAguatera   |
|       Ya no puedo mas... Tiene que ser hoy!!! #JuntosPorLaNovena @Aguada_oficial @Somos_Aguada @PasionAguatera https://t.co/JL5iWLH0d9       |
| RT @Colet12: Cuando tu amiga hace la fila xa el partido 10hs antes! ❤️💚#JuntosPorLaNovena @RinconAguatero @HAguatera @Aguada_oficial @Somos… |
| RT @Titotimothytim: Ya no puedo mas... Tiene que ser hoy!!! #JuntosPorLaNovena @Aguada_oficial @Somos_Aguada @PasionAguatera https://t.co/J… |
| RT @daianab81: A Palacio y Estadio Propio lleno!!! Así se vive la final en @Aguada_oficial #juntosporlanovena ❤️💚@RinconAguatero @Somos_Agu… |
|                                                          ES HOY @Aguada_oficial 💚❤️                                                          |
|                                                              #juntosporlanovena                                                              |
|          Que mejor que empezar esta mañana de esta forma. #juntosporlanovena Es hoy querido @Aguada_oficial https://t.co/ofspHfZILj          |
|  A Palacio y Estadio Propio lleno!!! Así se vive la final en @Aguada_oficial #juntosporlanovena ❤️💚@RinconAguatero… https://t.co/MpGas5hZU7  |
+----------------------------------------------------------------------------------------------------------------------------------------------+/n
